season,position,salary,salary,salary,salary,salary
,,sum,count,mean,min,max
2000,Center,153947000,28,5498107.142857143,857000,17142000
2000,Forward,45732000,14,3266571.4285714286,728000,11910000
2000,Guard,26552000,12,2212666.6666666665,1100000,4200000
2000,Point Guard,105398000,22,4790818.181818182,301000,11020000
2000,Power Forward,183679000,35,5247971.428571428,679000,16806000
2000,Shooting Guard,62249000,20,3112450.0,878000,9000000
2000,Small Forward,93945000,26,3613269.230769231,684000,14795000
2001,Center,352375000,79,4460443.037974684,26000,19285000
2001,Forward,93712000,42,2231238.095238095,24000,12485000
2001,Guard,89268000,45,1983733.3333333333,29000,12000000
2001,Point Guard,173379000,56,3096053.5714285714,34000,12200000
2001,Power Forward,295802000,62,4771000.0,316000,19600000
2001,Shooting Guard,163435000,46,3552934.782608696,24000,10666000
2001,Small Forward,144796000,44,3290818.1818181816,288000,13151000
2002,Center,327585000,91,3599835.164835165,304000,21428000
2002,Forward,64820000,35,1852000.0,332000,6000000
2002,Guard,74637000,39,1913769.2307692308,333000,8000000
2002,Point Guard,191836000,64,2997437.5,237000,12926000
2002,Power Forward,364535000,77,4734220.779220779,332000,22400000
2002,Shooting Guard,205999000,54,3814796.296296296,332000,12045000
2002,Small Forward,187842000,55,3415309.090909091,332000,18083000
2003,Center,297253000,59,5038186.440677966,526000,23571000
2003,Forward,28722000,13,2209384.6153846155,512000,5250000
2003,Guard,44118000,15,2941200.0,800000,10625000
2003,Point Guard,186601000,44,4240931.818181818,512000,13500000
2003,Power Forward,381346000,64,5958531.25,512000,25200000
2003,Shooting Guard,210141000,41,5125390.243902439,512000,12375000
2003,Small Forward,187843000,44,4269159.090909091,512000,19727000
2004,Center,227354000,38,5983000.0,639000,26571000
2004,Forward,6484000,3,2161333.3333333335,1172000,3726000
2004,Guard,17592000,4,4398000.0,856000,11953000
2004,Point Guard,147888000,29,5099586.206896552,861000,14625000
2004,Power Forward,304896000,43,7090604.651162791,1292000,28000000
2004,Shooting Guard,192199000,29,6627551.724137931,995000,15937000
2004,Small Forward,155332000,34,4568588.235294118,587000,13500000
2005,Center,201739000,30,6724633.333333333,1554000,29464000
2005,Forward,8986000,3,2995333.3333333335,1805000,4915000
2005,Guard,17184000,3,5728000.0,1545000,13281000
2005,Point Guard,86282000,15,5752133.333333333,1554000,15750000
2005,Power Forward,221767000,31,7153774.193548387,1985000,14625000
2005,Shooting Guard,169970000,18,9442777.777777778,2332000,17531000
2005,Small Forward,122713000,20,6135650.0,1377000,14625000
2006,Center,369428522,90,4104761.355555556,398762,20000000
2006,Forward,46911993,11,4264726.636363637,398762,13843156
2006,Guard,67976172,15,4531744.8,398762,13843156
2006,Point Guard,283366690,78,3632906.282051282,398672,16453125
2006,Power Forward,412460534,89,4634388.02247191,248118,18000000
2006,Shooting Guard,297553510,83,3584982.048192771,398761,16453125
2006,Small Forward,257785403,69,3736020.3333333335,398762,15946875
2007,Center,392451383,91,4312652.560439561,302200,20000000
2007,Forward,54761187,14,3911513.3571428573,121388,15101622
2007,Guard,73648165,14,5260583.214285715,412718,15101626
2007,Point Guard,296616976,83,3573698.506024096,37620,18084000
2007,Power Forward,405571505,101,4015559.4554455443,70075,21000000
2007,Shooting Guard,295483576,90,3283150.8444444444,23443,17184375
2007,Small Forward,274642970,73,3762232.4657534244,109493,17718750
2008,Center,407809957,93,4385053.301075269,87945,21000000
2008,Forward,73957659,13,5689050.692307692,770610,16360094
2008,Guard,89560611,17,5268271.235294118,67844,13488378
2008,Point Guard,302881903,86,3521882.593023256,181320,19728000
2008,Power Forward,407241619,98,4155526.724489796,4533,23751934
2008,Shooting Guard,339029213,95,3568728.557894737,4533,19012500
2008,Small Forward,299543514,79,3791690.0506329113,24263,19490625
2009,Center,460133932,92,5001455.782608695,442114,21372000
2009,Forward,88392688,15,5892845.866666666,797581,18077904
2009,Guard,112386383,20,5619319.15,631995,14724125
2009,Point Guard,310280071,81,3830618.160493827,46917,21372000
2009,Power Forward,395724000,94,4209829.787234043,52014,24751934
2009,Shooting Guard,396243549,96,4127536.96875,46917,20840625
2009,Small Forward,328462433,78,4211056.833333333,442114,21262500
2010,Center,454790787,90,5053230.966666667,5383,23016000
2010,Forward,95562413,20,4778120.65,457588,19795714
2010,Guard,134397251,25,5375890.04,2692,16123250
2010,Point Guard,261179551,76,3436573.039473684,17328,16192080
2010,Power Forward,376033784,89,4225098.696629213,43703,18010791
2010,Shooting Guard,363949499,95,3831047.357894737,88826,22843124
