team,position,salary,salary,salary,salary,salary
,,sum,count,mean,min,max
Atlanta Hawks,Center,167786305,41,4092348.9024390243,47371,23180275
Atlanta Hawks,Forward,19114456,14,1365318.2857142857,25367,2863920
Atlanta Hawks,Guard,144716396,30,4823879.866666666,548000,18038573
Atlanta Hawks,Point Guard,146668267,37,3964007.2162162163,270014,15500000
Atlanta Hawks,Power Forward,379273467,76,4990440.355263158,138404,20072033
Atlanta Hawks,Shooting Guard,198582044,59,3365797.3559322036,246956,18606556
Atlanta Hawks,Small Forward,90204142,24,3758505.9166666665,442114,25102511
Bilbao Basket Bilbao Basket,Center,5543116,1,5543116.0,5543116,5543116
Boston Celtics,Center,136738685,46,2972580.1086956523,423000,11666666
Boston Celtics,Forward,44235545,10,4423554.5,1170960,12000000
Boston Celtics,Guard,26556547,17,1562149.8235294118,2692,5620000
Boston Celtics,Point Guard,269988471,52,5192085.980769231,196007,32742000
Boston Celtics,Power Forward,423388103,65,6513663.123076923,156234,28928709
Boston Celtics,Shooting Guard,164692464,46,3580270.9565217393,77852,18776860
Boston Celtics,Small Forward,287438409,30,9581280.3,25991,32700690
Brooklyn Nets,Center,157706028,27,5840964.0,275691,21165675
Brooklyn Nets,Forward,28719216,12,2393268.0,507336,9250000
Brooklyn Nets,Guard,158331874,29,5459719.793103448,47371,23180790
Brooklyn Nets,Point Guard,138683865,21,6603993.571428572,104494,31742000
Brooklyn Nets,Power Forward,88437875,19,4654625.0,473604,12433735
Brooklyn Nets,Shooting Guard,49438906,30,1647963.5333333334,4737,7019698
Brooklyn Nets,Small Forward,170622958,33,5170392.666666667,22287,38199000
Charlotte Bobcats,Center,189388764,46,4117147.0434782607,98036,13500000
Charlotte Bobcats,Forward,762195,1,762195.0,762195,762195
Charlotte Bobcats,Guard,32332551,8,4041568.875,2847360,5501196
Charlotte Bobcats,Point Guard,45691114,22,2076868.8181818181,349041,4600000
Charlotte Bobcats,Power Forward,60065155,25,2402606.2,52014,8000000
Charlotte Bobcats,Shooting Guard,93995007,29,3241207.1379310344,80703,13200000
Charlotte Bobcats,Small Forward,124696887,31,4022480.2258064514,96017,10500000
Charlotte Hornets,Center,212424437,31,6852401.193548387,67135,23819725
Charlotte Hornets,Forward,3265000,3,1088333.3333333333,783000,1300000
Charlotte Hornets,Guard,33271855,19,1751150.2631578948,29000,9000000
Charlotte Hornets,Point Guard,100490458,24,4187102.4166666665,121112,19894737
Charlotte Hornets,Power Forward,113266795,23,4924643.260869565,161483,14087500
Charlotte Hornets,Shooting Guard,180976038,30,6032534.6,543471,25565217
Charlotte Hornets,Small Forward,83100164,20,4155008.2,466000,13000000
Chicago Bulls,Center,262283880,48,5464247.5,316000,14357750
Chicago Bulls,Forward,116236318,22,5283469.0,37000,14275000
Chicago Bulls,Guard,43404078,17,2553181.0588235296,316000,23200000
Chicago Bulls,Point Guard,218527882,42,5203044.80952381,57627,20093064
Chicago Bulls,Power Forward,241082449,62,3888426.5967741935,48854,16000000
Chicago Bulls,Shooting Guard,172461892,58,2973480.896551724,398762,12072000
Chicago Bulls,Small Forward,142778137,35,4079375.342857143,85458,27250575
Cleveland Cavaliers,Center,358604720,66,5433404.848484849,87945,21000000
Cleveland Cavaliers,Forward,43201357,12,3600113.0833333335,495399,14275000
Cleveland Cavaliers,Guard,16726444,12,1393870.3333333333,40375,6300000
Cleveland Cavaliers,Point Guard,194172781,44,4413017.75,169340,17638063
Cleveland Cavaliers,Power Forward,277027312,41,6756763.707317073,207722,28942830
Cleveland Cavaliers,Shooting Guard,237873870,62,3836675.3225806453,5767,14720000
Cleveland Cavaliers,Small Forward,214284006,46,4658347.956521739,427163,30963450
Dallas Mavericks,Center,234487317,54,4342357.722222222,236886,14846888
Dallas Mavericks,Forward,265978833,32,8311838.53125,47953,25000000
Dallas Mavericks,Guard,114687338,28,4095976.3571428573,91442,11158000
Dallas Mavericks,Point Guard,172631921,52,3319844.6346153845,15984,21372000
Dallas Mavericks,Power Forward,131441624,43,3056781.9534883723,49966,27285000
Dallas Mavericks,Shooting Guard,284300083,50,5686001.66,211084,20025127
Dallas Mavericks,Small Forward,179610388,36,4989177.444444444,280192,23112004
Denver Nuggets,Center,249468229,49,5091188.346938776,26000,27504630
Denver Nuggets,Forward,82463987,21,3926856.523809524,473604,12921348
Denver Nuggets,Guard,68064130,24,2836005.4166666665,333000,11595506
Denver Nuggets,Point Guard,119530666,40,2988266.65,37620,12100000
Denver Nuggets,Power Forward,472428840,57,8288225.263157895,634620,31269231
Denver Nuggets,Shooting Guard,156051843,49,3184731.4897959186,412718,19012500
Denver Nuggets,Small Forward,129684774,45,2881883.8666666667,57672,12776786
Detroit Pistons,Center,194005479,34,5706043.5,333000,27093019
Detroit Pistons,Forward,68047212,18,3780400.6666666665,398762,10991957
Detroit Pistons,Guard,45810148,17,2694714.588235294,398762,8000000
Detroit Pistons,Point Guard,249452707,53,4706654.849056603,269189,17043478
Detroit Pistons,Power Forward,341342246,71,4807637.2676056335,316000,34449964
Detroit Pistons,Shooting Guard,203139112,47,4322108.765957447,412718,20840625
Detroit Pistons,Small Forward,180788476,43,4204383.162790698,457588,17200000
Fenerbahce Ulker Fenerbahce Ulker,Center,6132565,3,2044188.3333333333,762195,2685185
Golden State Warriors,Center,237810552,61,3898533.6393442624,75793,14000000
Golden State Warriors,Forward,55477238,21,2641773.238095238,241000,10164000
Golden State Warriors,Guard,66912320,21,3186300.9523809524,32000,8307692
Golden State Warriors,Point Guard,284587242,47,6055047.70212766,17328,40231758
Golden State Warriors,Power Forward,225064062,51,4413020.823529412,316000,18539130
Golden State Warriors,Shooting Guard,295423966,58,5093516.655172414,442114,32742000
Golden State Warriors,Small Forward,176980692,52,3403474.846153846,118435,30000000
Houston Rockets,Center,318458827,52,6124208.211538462,142201,22359364
Houston Rockets,Forward,39862679,22,1811939.9545454546,4608,5000000
Houston Rockets,Guard,31236218,16,1952263.625,83000,8374646
Houston Rockets,Point Guard,238522682,53,4500427.962264151,90005,38506482
Houston Rockets,Power Forward,194805844,64,3043841.3125,13958,19578455
Houston Rockets,Shooting Guard,401359735,51,7869798.725490196,23685,38199000
Houston Rockets,Small Forward,119618537,40,2990463.425,15000,9200000
Indiana Pacers,Center,258132419,54,4780229.981481481,319116,19728000
Indiana Pacers,Forward,73936845,16,4621052.8125,591000,12000000
Indiana Pacers,Guard,76893531,23,3343197.0,211744,12400000
Indiana Pacers,Point Guard,201350525,53,3799066.5094339624,333000,20000000
Indiana Pacers,Power Forward,246309321,64,3848583.140625,507336,14153652
Indiana Pacers,Shooting Guard,335863904,44,7633270.545454546,213051,21000000
Indiana Pacers,Small Forward,192975686,49,3938279.3061224488,402065,13058606
LA Clippers,Center,263159439,48,5482488.3125,398762,22642350
LA Clippers,Forward,19497955,11,1772541.3636363635,111444,5882260
LA Clippers,Guard,40814372,16,2550898.25,375000,6300000
LA Clippers,Point Guard,293425711,57,5147819.49122807,107676,22868827
LA Clippers,Power Forward,325461089,52,6258867.096153846,125636,32088932
LA Clippers,Shooting Guard,273580610,62,4412590.483870967,23443,30560700
LA Clippers,Small Forward,167904306,48,3498006.375,72892,32742000
Los Angeles Clippers,Center,9629000,4,2407250.0,316000,3697000
Los Angeles Clippers,Forward,6226000,2,3113000.0,2716000,3510000
Los Angeles Clippers,Point Guard,2061000,2,1030500.0,523000,1538000
Los Angeles Clippers,Power Forward,6817000,4,1704250.0,843000,2628000
Los Angeles Clippers,Shooting Guard,5000000,2,2500000.0,2000000,3000000
Los Angeles Clippers,Small Forward,5214000,3,1738000.0,1020000,2841000
Los Angeles Lakers,Center,320089651,60,5334827.516666667,90660,26571000
Los Angeles Lakers,Forward,48252883,12,4021073.5833333335,52108,18000000
Los Angeles Lakers,Guard,54072381,25,2162895.24,13824,8374646
Los Angeles Lakers,Point Guard,170129451,48,3544363.5625,427163,12500000
Los Angeles Lakers,Power Forward,291296645,53,5496163.113207547,465000,27093018
Los Angeles Lakers,Shooting Guard,139911804,41,3412483.024390244,59686,17745894
Los Angeles Lakers,Small Forward,564231106,69,8177262.405797102,473604,37436858
Maccabi Haifa Maccabi Haifa,Forward,2286997,2,1143498.5,815615,1471382
Maccabi Haifa Maccabi Haifa,Power Forward,816482,1,816482.0,816482,816482
Madrid Real Madrid,Center,427163,1,427163.0,427163,427163
Madrid Real Madrid,Shooting Guard,3264523,2,1632261.5,1084080,2180443
Madrid Real Madrid,Small Forward,9948199,4,2487049.75,736420,6650000
Memphis Grizzlies,Center,304707478,47,6483137.829787234,59820,24119025
Memphis Grizzlies,Forward,176455324,37,4769062.810810811,76725,18238333
Memphis Grizzlies,Guard,56161883,26,2160072.423076923,60283,9000000
Memphis Grizzlies,Point Guard,241591312,60,4026521.8666666667,55839,30521115
Memphis Grizzlies,Power Forward,209189064,56,3735519.0,53838,13735000
Memphis Grizzlies,Shooting Guard,198633743,68,2921084.455882353,48232,14666250
Memphis Grizzlies,Small Forward,269613522,60,4493558.7,2692,24107258
Miami Heat,Center,322444594,50,6448891.88,61467,29464000
Miami Heat,Forward,77116779,19,4058777.8421052634,18948,14651700
Miami Heat,Guard,196490817,28,7017529.178571428,67844,20000000
Miami Heat,Point Guard,136773832,28,4884779.714285715,181320,19217900
Miami Heat,Power Forward,404610105,72,5619584.791666667,67844,23741060
Miami Heat,Shooting Guard,226176199,60,3769603.316666667,4737,19245370
Miami Heat,Small Forward,204220689,50,4084413.78,29135,32742000
Milwaukee Bucks,Center,218044401,45,4845431.133333334,302200,17145838
Milwaukee Bucks,Forward,81940698,15,5462713.2,473604,13200000
Milwaukee Bucks,Guard,48399044,25,1935961.76,427163,3940000
Milwaukee Bucks,Point Guard,183167861,51,3591526.68627451,35116,19000000
Milwaukee Bucks,Power Forward,379424422,78,4864415.666666667,398762,25842697
Milwaukee Bucks,Shooting Guard,227036418,49,4633396.285714285,15435,18300000
Milwaukee Bucks,Small Forward,231885039,50,4637700.78,9281,30603448
Minnesota Timberwolves,Center,315721299,59,5351208.457627119,199452,27285000
Minnesota Timberwolves,Forward,37875111,16,2367194.4375,591000,5563920
Minnesota Timberwolves,Guard,42940024,11,3903638.5454545454,283367,18500000
Minnesota Timberwolves,Point Guard,235355711,54,4358439.092592592,290951,19000000
Minnesota Timberwolves,Power Forward,366537208,61,6008806.68852459,111685,28000000
Minnesota Timberwolves,Shooting Guard,221482690,57,3885661.2280701753,35868,27285000
Minnesota Timberwolves,Small Forward,197529089,53,3726963.9433962265,346781,27504630
"NO/Oklahoma City
 Hornets",Forward,1334160,1,1334160.0,1334160,1334160
"NO/Oklahoma City
 Hornets",Point Guard,6744240,2,3372120.0,3144240,3600000
"NO/Oklahoma City
 Hornets",Power Forward,9040510,3,3013503.3333333335,398762,8000000
"NO/Oklahoma City
 Hornets",Shooting Guard,5234320,3,1744773.3333333333,1297080,2500000
"NO/Oklahoma City
 Hornets",Small Forward,8533333,2,4266666.5,1300000,7233333
NO/Oklahoma City Hornets,Center,9150000,1,9150000.0,9150000,9150000
NO/Oklahoma City Hornets,Forward,2051938,1,2051938.0,2051938,2051938
NO/Oklahoma City Hornets,Point Guard,9630160,3,3210053.3333333335,1000000,5250000
NO/Oklahoma City Hornets,Power Forward,8078140,4,2019535.0,664209,4875000
NO/Oklahoma City Hornets,Shooting Guard,516806,1,516806.0,516806,516806
NO/Oklahoma City Hornets,Small Forward,23765234,5,4753046.8,412718,10800000
New Jersey Nets,Center,105218349,34,3094657.3235294116,231183,16105000
New Jersey Nets,Forward,50162072,14,3583005.1428571427,24000,12200000
New Jersey Nets,Guard,78252775,8,9781596.875,1063865,15101626
New Jersey Nets,Point Guard,144589903,25,5783596.12,34000,19728000
New Jersey Nets,Power Forward,88726011,32,2772687.84375,216110,10865000
New Jersey Nets,Shooting Guard,75129656,27,2782579.8518518517,4533,9267000
New Jersey Nets,Small Forward,75309133,27,2789227.1481481483,22287,11242666
New Orleans Hornets,Center,86628635,18,4812701.944444444,27859,14030000
New Orleans Hornets,Forward,48474939,11,4406812.636363637,305551,10650000
New Orleans Hornets,Guard,6266120,2,3133060.0,1266120,5000000
New Orleans Hornets,Point Guard,55751140,15,3716742.6666666665,64930,14940153
New Orleans Hornets,Power Forward,52237632,15,3482508.8,797581,8700000
New Orleans Hornets,Shooting Guard,60369652,17,3551156.0,457588,13668750
New Orleans Hornets,Small Forward,107263817,24,4469325.708333333,25073,13392000
New Orleans Pelicans,Center,95052588,25,3802103.52,29788,18063850
New Orleans Pelicans,Forward,23137825,12,1928152.0833333333,387995,5450000
New Orleans Pelicans,Guard,39595508,11,3599591.6363636362,57672,11796247
New Orleans Pelicans,Point Guard,40073753,20,2003687.65,107676,8719320
New Orleans Pelicans,Power Forward,138684600,20,6934230.0,473604,25434263
New Orleans Pelicans,Shooting Guard,224469458,26,8633440.692307692,169883,26231111
New Orleans Pelicans,Small Forward,87303163,24,3637631.7916666665,442114,12252928
New York Knicks,Center,389392122,68,5726354.735294118,63127,22897200
New York Knicks,Forward,91118587,16,5694911.6875,507336,14666667
New York Knicks,Guard,58191707,18,3232872.611111111,42634,8000000
New York Knicks,Point Guard,241321196,51,4731788.156862745,473604,21323252
New York Knicks,Power Forward,455730196,71,6418735.154929577,8232,24559380
New York Knicks,Shooting Guard,321467953,64,5022936.765625,48028,22843124
New York Knicks,Small Forward,167972603,53,3169294.396226415,30888,15000000
Oklahoma City Thunder,Center,265564932,47,5650317.70212766,222888,25842697
Oklahoma City Thunder,Forward,80000847,26,3076955.653846154,247991,13270000
Oklahoma City Thunder,Guard,31978635,12,2664886.25,815615,5994764
Oklahoma City Thunder,Point Guard,289347247,49,5905045.857142857,40375,38506482
Oklahoma City Thunder,Power Forward,130216604,26,5008330.923076923,475000,26243760
Oklahoma City Thunder,Shooting Guard,194514110,40,4862852.75,151587,30560700
Oklahoma City Thunder,Small Forward,158083446,38,4160090.6842105263,244489,20158622
Orlando Magic,Center,350644471,54,6493416.12962963,427163,28000000
Orlando Magic,Forward,29030228,10,2903022.8,31969,8579088
Orlando Magic,Guard,119037163,29,4104729.7586206896,473604,16123250
Orlando Magic,Point Guard,166304642,53,3137823.433962264,59820,13700000
Orlando Magic,Power Forward,237210294,55,4312914.4363636365,4608,21590909
Orlando Magic,Shooting Guard,240228449,49,4902621.408163265,31969,17150000
Orlando Magic,Small Forward,220753928,47,4696892.085106383,473604,16901500
Philadelphia 76ers,Center,372351867,70,5319312.385714286,300000,27504630
