season,salary,salary,salary,salary,salary
,sum,count,mean,min,max
2000,671502000,157,4277082.802547771,301000,17142000
2001,1312767000,374,3510072.192513369,24000,19600000
2002,1419486000,416,3412225.9615384615,237000,22400000
2003,1336024000,280,4771514.285714285,512000,25200000
2004,1051745000,180,5843027.777777778,587000,28000000
2005,828641000,120,6905341.666666667,1377000,29464000
2006,1742877487,436,3997425.4288990824,248118,20000000
2007,1802585019,470,3835287.2744680853,23443,21000000
2008,1932816486,491,3936489.7881873725,4533,23751934
2009,2104883951,485,4339966.909278351,46917,24751934
2010,2043598204,482,4239830.298755187,2692,23034375
2011,2077079097,542,3832249.2564575644,8358,24806250
2012,2134685337,619,3448603.1292407108,11458,25244493
2013,2265482090,699,3241033.0329041486,20103,30453805
2014,1877304533,434,4325586.48156682,8232,30453805
2015,2057011160,527,3903246.982922201,29483,23500000
2016,2257392208,521,4332806.541266794,30888,25000000
2017,2949713683,594,4965847.951178451,5767,30963450
2018,3338348020,598,5582521.772575251,4608,37457154
2019,3369334107,503,6698477.349900597,4737,37457154
2020,3847428771,528,7286796.9147727275,155647,40231758
