team,season,salary,salary,salary,salary,salary
,,sum,count,mean,min,max
Atlanta Hawks,2000,16018000,7,2288285.714285714,893000,5318000
Atlanta Hawks,2001,19721000,9,2191222.222222222,316000,5909000
Atlanta Hawks,2002,49862000,14,3561571.4285714286,465000,11250000
Atlanta Hawks,2003,54529000,11,4957181.818181818,612000,12375000
Atlanta Hawks,2004,15724000,4,3931000.0,2109000,7682000
Atlanta Hawks,2005,10899000,3,3633000.0,2949000,4800000
Atlanta Hawks,2006,38198405,12,3183200.4166666665,641748,12000000
Atlanta Hawks,2007,45084224,14,3220301.714285714,490528,12744190
Atlanta Hawks,2008,38116186,10,3811618.6,427163,13488378
Atlanta Hawks,2009,68992109,16,4312006.8125,442114,14983603
Atlanta Hawks,2010,71574424,16,4473401.5,451595,14976754
Atlanta Hawks,2011,66873531,14,4776680.785714285,473604,16324500
Atlanta Hawks,2012,78635057,19,4138687.210526316,473604,18038573
Atlanta Hawks,2013,69301829,19,3647464.6842105263,473604,13200000
Atlanta Hawks,2014,61365927,15,4091061.8,138404,12000000
Atlanta Hawks,2015,57182724,14,4084480.285714286,816482,12000000
Atlanta Hawks,2016,71045472,16,4440342.0,525093,18671659
Atlanta Hawks,2017,85231361,16,5326960.0625,246956,23180275
Atlanta Hawks,2018,80973526,19,4261764.52631579,246956,18089887
Atlanta Hawks,2019,66443526,18,3691307.0,25367,18089887
Atlanta Hawks,2020,80573776,15,5371585.066666666,522738,25102511
Bilbao Basket Bilbao Basket,2012,5543116,1,5543116.0,5543116,5543116
Boston Celtics,2000,28829000,7,4118428.5714285714,1503000,9000000
Boston Celtics,2001,44444000,14,3174571.4285714286,326000,10125000
Boston Celtics,2002,45168000,13,3474461.5384615385,540000,11250000
Boston Celtics,2003,43703000,8,5462875.0,1643000,12375000
Boston Celtics,2004,2104000,1,2104000.0,2104000,2104000
Boston Celtics,2005,14625000,1,14625000.0,14625000,14625000
Boston Celtics,2006,35817525,11,3256138.6363636362,398762,13843156
Boston Celtics,2007,53299123,15,3553274.8666666667,412718,15101626
Boston Celtics,2008,74585403,15,4972360.2,226650,23751934
Boston Celtics,2009,100827179,15,6721811.933333334,542114,24751934
Boston Celtics,2010,80022013,14,5715858.071428572,2692,19795712
Boston Celtics,2011,70648211,14,5046300.785714285,762195,18832044
Boston Celtics,2012,81850078,19,4307898.842105263,196007,21247044
Boston Celtics,2013,75171056,18,4176169.777777778,156234,16790345
Boston Celtics,2014,63020331,13,4847717.769230769,77852,12000000
Boston Celtics,2015,41359670,12,3446639.1666666665,816482,10105855
Boston Celtics,2016,60772386,16,3798274.125,525093,12000000
Boston Celtics,2017,92028392,16,5751774.5,543471,26540100
Boston Celtics,2018,100847233,14,7203373.785714285,44495,29727900
Boston Celtics,2019,125326739,15,8355115.933333334,17092,31214295
Boston Celtics,2020,119017048,16,7438565.5,898310,32742000
Brooklyn Nets,2006,4501200,1,4501200.0,4501200,4501200
Brooklyn Nets,2007,6025576,2,3012788.0,1854376,4171200
Brooklyn Nets,2008,3530000,3,1176666.6666666667,850000,1600000
Brooklyn Nets,2010,7100000,1,7100000.0,7100000,7100000
Brooklyn Nets,2011,7100000,1,7100000.0,7100000,7100000
Brooklyn Nets,2012,8234148,4,2058537.0,20103,7100000
Brooklyn Nets,2013,101544102,30,3384803.4,20103,19752645
Brooklyn Nets,2014,100342826,15,6689521.733333333,54785,21466718
Brooklyn Nets,2015,103134468,17,6066733.411764706,96056,23180790
Brooklyn Nets,2016,67294929,21,3204520.4285714286,134215,19689000
Brooklyn Nets,2017,72562117,22,3298278.0454545454,75000,21165675
Brooklyn Nets,2018,94516420,17,5559789.411764706,543471,18500000
Brooklyn Nets,2019,83536752,18,4640930.666666667,4737,18500000
Brooklyn Nets,2020,132518184,19,6974641.263157895,654469,38199000
Charlotte Bobcats,2005,8815000,3,2938333.3333333335,1377000,5884000
Charlotte Bobcats,2006,34282304,16,2142644.0,398762,5000000
Charlotte Bobcats,2007,45940805,18,2552266.9444444445,128935,5525000
